criado,modificado,nome_fantasia,telefone_fixo,telefone_extra,telefone_celular,email,logradouro,nr_porta,cep,bairro,regiao,is_ativo,qtd_cacambas
09/10/24,09/10/24,LEVA ENTULHO,(67)3387-2121,,(67) 9928-6202,levaentulho.ms@gmail.com,Mascarenhas de Moraes,500,79118-690,São Francisco,Teste,False,250
09/10/24,09/10/24,DISK ENTULHO,(67)3331-0820,,(67) 9925-1620,tcujiie@hotmail.com,Melvin Jones,569,79090-231,Caiçara,Teste,False,142
09/10/24,09/10/24,PAPA ENTULHOS,(67)3382-1495,,,netilin_higa@hotmail.com,Riachuelo,960,79009-110,Vila São Manoel,Teste,False,40
09/10/24,09/10/24,ALTERNATIVA SINGULAR,(67)3342-1623,(67) 3042-1623,,singularcacamba@hotmail.com,Aguiar Pereira de Souza,24,79080-375,Jardim América,Teste,False,70
09/10/24,09/10/24,BRITO CAÇAMBA,(67)3305-1579,,(67) 9927-4900,britocacamba@gmail.com,das Bandeiras,96,79005-620,Vila Carvalho,Teste,False,110
09/10/24,09/10/24,REMOVE ENTULHO,(67)3331-1000,,,removeentulho@hotmail.com,"Avenida Tiradentes, ",887,79090-160,Vila Taveirópolis,Teste,False,160
09/10/24,09/10/24,LIMPA OBRA PRA TODA OBRA,(67)3325-0085,,(67) 9922-2954,limpaobrams@gmail.com,Brilhante,803,79005-250,Vila Carvalho,Teste,False,200
09/10/24,09/10/24,LIMPA FOSSA MINHOCÃO,(67)3380-1000,(67) 3380-1100,(67) 9927-74115,lfminhocao@hotmail.com,Guaicurus,8343,79074-212,Jardim Manaíra,Teste,False,63
09/10/24,09/10/24,TCHÊ ENTULHOS,(67)3042-0006,,,luizcnaujorks@gmail.com,Jurema,461,79022-190,Vila Rica,Teste,False,80
09/10/24,09/10/24,RUBENS MENEZES DE ANDRADE,(67)9841-12938,,(67) 9841-12938,rrtransporte10@outlook.com,Costa Melo,101,79083-800,Jardim Aero Rancho,Teste,False,0
09/10/24,09/10/24,TCHAU ENTULHOS,(67)3356-0099,(67) 9926-9154,(67) 9994-37830,tchauentulho@hotmail.com,Pedro Celestino,3097,79002-372,Centro,Teste,False,110
09/10/24,09/10/24,RECOLHE & ROTA ENTULHOS,(67)3341-2929,,,recolheentulho@gmail.com,Domingos Marques,1044,79003-190,Jardim Bela Vista,Teste,False,200
09/10/24,09/10/24,TRANSCOL,(67)3383-7272,,(67) 9990-24107,transcol_cacamba@hotmail.com,Santos Dumont,271,79008-560,Cabreúva,Teste,False,36
09/10/24,09/10/24,UNA LOCAÇÕES,(67)3373-3374,,(67) 9998-7369,unalocacoes@hotmail.com,dos Arquipélagos,1405,79097-040,Coophavila II,Teste,False,117
09/10/24,09/10/24,CHAMA ENTULHOS,(67)3381-7080,,(67) 9848-4834,chamaentulho@hotmail.com,Marechal Deodoro,2327,79086-000,Guanandi,Teste,False,75
09/10/24,09/10/24,BARAÚNAS MULTI MIX,(67)3354-2342,(67) 3354-4409,(67) 9817-15503,maizabaraunas@hotmail.com,Baraúnas,225,79034-130,Parque dos Novos Estados,Teste,False,77
09/10/24,09/10/24,D ENTULHOS CAÇAMBAS,(67)3346-4545,,(67) 9914-5044,dentulho@hotmail.com,do Piano,14,79082-030,Guanandi II,Teste,False,136
09/10/24,09/10/24,100 ENTULHO,(67)3341-0202,,(67) 9924-40441,100entulho@gmail.com,Cândida Lima de Barros,71,79041-390,Tiradentes,Teste,False,350
09/10/24,09/10/24,EXPRESSO ENTULHOS,(67)3044-1188,,(67) 9980-01188,expressoentulhos@gmail.com,Carlinda Pereira Contar,2188,79037-200,Jardim Veraneio,Teste,False,150
09/10/24,09/10/24,CAPITAL CAÇAMBAS,(67)3349-4040,,(67) 9820-51428,capitalc.adm@gmail.com,Panamericana,295,79034-722,Conjunto Habitacional Estrela DAlva II,Teste,False,68
09/10/24,09/10/24,SABIÁ,(67)3354-1150,,,jenicagomesschardong@hotmail.com,José Anache,600,79033-050,Mata do Jacinto,Teste,False,81
09/10/24,09/10/24,JF CAÇAMBAS,(67)3305-8479,(67) 9961-66274,(67) 9912-0068,jfcacambas@hotmail.com,Santa Maria,2114,79011-190,Monte Castelo,Teste,False,46
09/10/24,09/10/24,CARLÃO CAÇAMBAS,(67)3384-3660,,(67) 9911-28144,luizcsilva012@gmail.com,das Paineiras,156,79010-070,Monte Castelo,Teste,False,32
09/10/24,09/10/24,CHAMA QUE EU VOU (INATIVA),(67)3363-2437,,(67) 9925-1772,chamaqeuvou@hotmail.com.br,Vilma Andrade Costa,1209,79104-260,Vila Nova Campo Grande,Teste,False,60
09/10/24,09/10/24,KAIROS ENTULHO,(67)3365-4963,(67) 9273-2712,(67) 9678-1630,maurojosecamp@gmail.com,Theodore Roosevelt,949,79116-191,Jardim Alto São Francisco,Teste,False,65
09/10/24,09/10/24,AF CAÇAMBAS,(67)9998-1200,(67) 9919-65658,(67) 9999-15658,af.cacambas@gmail.com,Francisco Giordano,171,79110-250,Sobrinho,Teste,False,77
09/10/24,09/10/24,BR SERVICE HOME,(67)3355-4946,,(67) 9923-55434,brcacambas@hotmail.com,Professora Antônia Capile,494,79017-051,Nova Lima,Teste,False,100
09/10/24,09/10/24,SANTO ANTONIO CAÇAMBAS,(67)3361-9194,,(67) 9910-9238,santoantoniocacambas@gmail.com,Giótipo,33,79116-030,Vila Nossa Senhora das Graças,Teste,False,125
09/10/24,09/10/24,MOURA & CAMARGO ENTULHOS,(67) 9932-85445,,(67) 9932-85445,mouraecamargoentulhos@hotmail.com,Jaguariúna,326,79064-160,Vila Cidade Morena,Teste,False,47
09/10/24,09/10/24,DR LIMPEZA,(67) 3383-0102,,,drlimpeza@hotmail.com,Henrique Vasques,196,79005-180,Vila Carvalho,Teste,False,150
09/10/24,09/10/24,VIAMAQ,(67) 3222-0812,(67) 3356-0113,(67) 9926-3251,viamaqms@gmail.com,Treze de Junho,2671,79010-200,Monte Castelo,Teste,False,0
09/10/24,09/10/24,FÁBRICA DE MANILHAS MOUREIRA,(67) 3355-4532,(67) 3355-6255,,manilhamoreira@outlook.com,Areti Deligeorges Vavas,516,79033-070,Mata do Jacinto,Teste,False,20
09/10/24,09/10/24,NACIONAL CAÇAMBAS,(67) 3213-4909,(67) 9935-14545,(67) 9243-2027,nacionalcacambas@hotmail.com,José Barbosa Rodrigues,2430,79113-214,Recanto dos Pássaros,Teste,False,70
09/10/24,09/10/24,LUANNY CAÇAMBAS,(67) 9323-4344,,(67) 9815-4344,juliocesaremara@hotmail.com,Francisco José Abrão,867,79013-020,Conjunto Residencial Estrela do Sul,Teste,False,50
09/10/24,09/10/24,WANGAO COMERCIO E LOCACOES,(67) 9911-14620,,(67) 9911-85454,wangaocacambas@gmail.com,General Paulo Xavier,201,79040-540,Chácara Cachoeira,Teste,False,140
09/10/24,09/10/24,SERVMAQ,(67) 9982-9847,,(67) 9998-2984,helderservmaq@hotmail.com,José Anache,20,79033-050,Mata do Jacinto,Teste,False,0
09/10/24,09/10/24,MS ENTULHOS,(67) 9911-96682,,(67) 9814-82336,a.msentulhos@gmail.com,Agenda,106,79071-400,Jardim Colibrí,Teste,False,80
09/10/24,09/10/24,HT Caçambas,(67) 3365-2092,(67) 3365-2986,(67) 9915-89090,lxcarvalho@hotmail.com,São Lucas,388,79117-200,Vila Nasser,Teste,False,40
09/10/24,09/10/24,BORDA DE OURO - JARDINAGEM,(67) 9990-6725,,,bordadeouro66@gmail.com,Abrão Anache,600,79017-160,Jardim Anache,Teste,False,46
09/10/24,09/10/24,PACHECO CAÇAMBAS,(67) 9923-00074,,,ferconvpacheco@hotmail.com,Osni Moura,565,79064-380,Vila Nova Capital,Teste,False,60
09/10/24,09/10/24,LS ENTULHOS,(67) 9928-44212,(67) 9960-66557,(67) 9928-44212,lourencoantonioafonso@gmail.com,Guatuba,50,79035-241,Jardim Montevidéu,Teste,False,95
09/10/24,09/10/24,"VELEIRO LOCAÇÃO DE CAÇAMBAS,MAQ.E EQUIP.",(67) 3344-0010,(67) 3344-6889,(67) 9933-7642,veleiromtc@hotmail.com,Roraima,854,79044-620,Panorama,Teste,False,23
09/10/24,09/10/24,MHACKSWE ALVES DA COSTA BRANDÃO,(67) 9917-12370,,(67) 9917-12370,bmhackswe@gmail.com,Gualter Barbosa,232,79015-247,Jardim Campo Belo,Teste,False,40
09/10/24,09/10/24,SOLURB,(67) 3303-9200,(67) 3303-9221,(67) 3042-3300,msato@solurb.eco.br,Alberto Neder,328,79002-160,Centro,Teste,False,96
09/10/24,09/10/24,JM CONSTRUÇÕES,(67) 3354-5359,(67) 9916-27050,(67) 9910-65618,jmdistribuidoraltda@hotmail.com,Cacimbinha,193,79034-420,Parque dos Novos Estados,Teste,False,20
09/10/24,09/10/24,MUNDIAL ENTULHOS,(67) 3382-1398,(00) 0000-00000,(67) 9912-48414,mundialentulho@hotmail.com,Santos Dumont,652,79009-520,Vila Planalto,Teste,False,29
09/10/24,09/10/24,LOKAMIL,(67) 8219-1000,,(67) 9821-9100,lokamilcacambas@gmail.com,Ministro José Linhares,1457,79112-190,Vila Palmira,Teste,False,42
09/10/24,09/10/24,CENTRAL CAÇAMBAS,(67) 3385-0010,,(67) 9141-8157,centralcacambas10@hotmail.com,rua das Valquírias,311,79096-090,Portal Caiobá,Teste,False,18
09/10/24,09/10/24,JAKSON SANCHES QUEIROZ,(67) 9125-1639,,(67) 9912-51639,jaksonservsanches@gmail.com,São Miguel,668,79050-450,Vila Progresso,Teste,False,0
09/10/24,09/10/24,MD TRANSPORTES E SERVIÇOS,(67) 9996-44305,,(67) 9996-4430,marceladoreto@hotmail.com,dos Advogados,381,79043-091,Arnaldo Estevão Figueiredo,Teste,False,0
09/10/24,09/10/24,FERCAM OBRAS,(67) 3253-5105,(67) 9922-69697,(67) 9922-78969,wesleycampos-15@hotmail.com,José Passarelli,584,79090-200,Vila Belo Horizonte,Teste,False,83
