nome_bairro,nome_regiao_regioes_id
Autonomista,PROSA
Taquari,PROSA
Loteamento Petit Park,PROSA
Royal Park,PROSA
de Andrade,PROSA
Carolina,PROSA
Municipal Guaicurus,PROSA
Municipal Paulo VI,PROSA
Nazaré,PROSA
Dalva III,PROSA
da Esperança,PROSA
Jardim Autonomista,PROSA
Vila Cacique,PROSA
Coophabanco,PROSA
Chácara Cachoeira,PROSA
Residencial Itacolomi,PROSA
Jardim Marabá,PROSA
Loteamento Municipal Verde Brasil,PROSA
Mata do Jacinto,PROSA
Favela do Limão,PROSA
Loteamento Abaeté,PROSA
Taquaral Bosque,PROSA
Beirute Residence Park,PROSA
Jardim Autonomista II,PROSA
Vila Pagé,PROSA
Vila Boa Esperança,PROSA
Chácara Cachoeira,PROSA
Tropical Park,PROSA
Loteamento Municipal Joaquim Euzébio,PROSA
Núcleo Marabá,PROSA
Conjunto Mata do Jacinto,PROSA
Loteamento Municipal Ceasa,PROSA
Loteamento Sóter,PROSA
Veraneio,PROSA
Bosque da Esperança II,PROSA
Jardim Autonomista III,PROSA
Jardim Vitrine,PROSA
Coophafé,PROSA
Chácara Cachoeira II,PROSA
Loteamento Residencial Via Park,PROSA
Loteamento,PROSA
Loteamento,PROSA
Carandá Bosque,PROSA
Loteamento Municipal,PROSA
Novos Estados,PROSA
Jardim Veraneio,PROSA
Chácara dos Poderes,PROSA
Jardim Giocondo Orsi,PROSA
Vila Orsi,PROSA
Santa Fé,PROSA
Cachoeirinha,PROSA
Residencial Via Park Itália,PROSA
Jardim Montevidéu,PROSA
Vila Futurista,PROSA
Chácara dos Poderes,PROSA
Jardim Giocondo Orsi II,PROSA
Vila Cruzeiro do Sul,PROSA
Santa Fé,PROSA
Jatiúca Park,PROSA
Margarida,PROSA
Conjunto Residencial Novo Amazonas,PROSA
Vila Danúbio Azul,PROSA
Jardim Veraneio,PROSA
Vila Monte Carlo,PROSA
Vila Santos Gomes,PROSA
Vila Miguel Couto,PROSA
Vila Margarida,PROSA
Conjunto Residencial Nova Bahia,PROSA
Jardim Tayana,PROSA
Jardim Pinheiros,PROSA
Vila Rica,PROSA
Vila Boa Esperança,PROSA
Vila Miguel Couto,PROSA
Vila Lucinda,PROSA
Conjunto Residencial Novo Pernambuco,PROSA
Vila Abdalla,PROSA
Jardim Cabral,PROSA
Conjunto Residencial Nova Ipanema,PROSA
Vila,PROSA
Vila Catarina,PROSA
Conjunto Residencial Novo Rio Grande do Sul,PROSA
Desbarrancado,PROSA
Vila Telma,PROSA
Coophafé,PROSA
Miguel Couto,PROSA
Vila Catarina II,PROSA
Conjunto Residencial Novo Maranhão,PROSA
Jardim Arco-Íris,PROSA
Vila Raquel,PROSA
Vivendas do Bosque,PROSA
Vila Manoel da Costa Lima,PROSA
Conjunto Residencial Novo Sergipe,PROSA
Loteamento Bosque,PROSA
Vila Sônia,PROSA
Jardim Umuarama,PROSA
Cidade Jardim,PROSA
San Marino Park,PROSA
Nahima Park,PROSA
Altos da Afonso Pena,PROSA
Carandá,PROSA
Carandá Bosque,PROSA
Carandá Bosque II,PROSA
Carandá Bosque III,PROSA
Golden Gate Park,PROSA
Portal Itayara,PROSA
Vila do Polonês,PROSA
Tayamã Park,PROSA
Vila Nascente,PROSA
Loteamento Copacabana,PROSA
Vivendas do Bosque,PROSA
Loteamento Municipal Mário,PROSA
Conjunto Residencial Novo São Paulo,PROSA
Conjunto Residencial Novo Alagoas,PROSA
Conjunto Residencial Novo Minas Gerais,PROSA
Conjunto Residencial Novo Paraná,PROSA
Jardim Jacarandá,PROSA
Alphaville Campo Grande,PROSA
Alphaville Campo Grande II,PROSA
Alphaville Campo Grande III e Alphaville Campo Grande IV,PROSA
Estrela Dalva,PROSA
Jardim Estrela Dalva I,PROSA
Jardim Estrela Dalva II,PROSA
Jardim Estrela,PROSA
Noroeste,PROSA
Jardim Noroeste,PROSA
Loteamento Nova Serrana,PROSA
Serraville,PROSA
Residencial Shalom,PROSA
