nome_bairro,nome_regiao_regioes_id
José Abrão,SEGREDO
Núcleo Habitacional José Abrão,SEGREDO
Parque dos Laranjais,SEGREDO
Jardim das Paineiras,SEGREDO
Vila Oeste,SEGREDO
Manoel Taveira,SEGREDO
Núcleo Parque dos Laranjais,SEGREDO
Jardim das Virtudes,SEGREDO
Nasser,SEGREDO
Vila Nasser,SEGREDO
Vila Nasser 2ª Seção,SEGREDO
Santa Luzia,SEGREDO
Vila Cox,SEGREDO
Jardim Alto São Francisco,SEGREDO
Jardim das Acácias,SEGREDO
Vila Lili,SEGREDO
Parque Residencial Azaléia,SEGREDO
Jardim Veneza,SEGREDO
Loteamento Municipal Dr. Miguel Vieira Ferreira,SEGREDO
Jardim Fluminense,SEGREDO
Nossa Senhora das Graças,SEGREDO
Vila Nilza 1ª Seção,SEGREDO
Vila Nilza 2ª Seção,SEGREDO
Jardim Paquetá,SEGREDO
Coophasul,SEGREDO
Vila Nossa Senhora Aparecida,SEGREDO
Vila Neuza,SEGREDO
Vila Marli,SEGREDO
Vila Novo Horizonte,SEGREDO
Bosque da Saúde,SEGREDO
São Caetano,SEGREDO
Jardim Paradiso,SEGREDO
Jardim Monte Alto,SEGREDO
Loteamento Dona Dedé,SEGREDO
Setvillage I,SEGREDO
Setvillage II,SEGREDO
Água Limpa Park,SEGREDO
Residencial Carajás,SEGREDO
Morada dos Deuses,SEGREDO
Residencial Alto Tamandaré e Residencial Recanto do Cerrado,SEGREDO
Bom Retiro,SEGREDO
Residencial Tolentino,SEGREDO
Jardim da Mooca,SEGREDO
Monte Castelo,SEGREDO
Monte Castelo,SEGREDO
Residencial Vale do Sol I,SEGREDO
Residencial Vale do Sol II,SEGREDO
Residencial Vale do Sol III,SEGREDO
Residencial Indaiá,SEGREDO
Jardim São Paulo (parte),SEGREDO
Vila São João Bosco,SEGREDO
Residencial Otávio Pécora,SEGREDO
Jardim Bosque de Avilan,SEGREDO
Center Park,SEGREDO
Jardim Aruba,SEGREDO
Loteamento Campo Dourado,SEGREDO
Loteamento Costa Verde,SEGREDO
Praia da Urca,SEGREDO
Residencial Gabura,SEGREDO
Mata do Segredo,SEGREDO
Jardim das Cerejeiras,SEGREDO
Jardim Campo Novo,SEGREDO
Jardim Presidente,SEGREDO
Jardim Campo Belo,SEGREDO
Loteamento Municipal Salinas,SEGREDO
Loteamento Municipal Cristaldo,SEGREDO
Núcleo das Cerejeiras,SEGREDO
Jardim Nascente do Segredo,SEGREDO
Residencial Gama,SEGREDO
Arnaldino da Silva,SEGREDO
Treviso,SEGREDO
Coronel Antonino,SEGREDO
Conjunto Residencial Estrela do Sul,SEGREDO
Jardim Imperial,SEGREDO
Jardim Mirasol,SEGREDO
Eldorado,SEGREDO
Vila Califórnia,SEGREDO
Vila Triângulo,SEGREDO
Guanabara,SEGREDO
Morada Verde,SEGREDO
Conjunto Residencial Nova Olinda,SEGREDO
Jardim Campo Verde,SEGREDO
Loteamento Municipal Raízes,SEGREDO
Favela Rio de Janeiro,SEGREDO
Favela Guatambu,SEGREDO
Beco da Liberdade,SEGREDO
Favela Nacional,SEGREDO
Loteamento Municipal Jaburu,SEGREDO
Núcleo Morada Verde,SEGREDO
Parque Izabel Garden’s,SEGREDO
Jardim Talismã,SEGREDO
Residencial Atlântico Sul,SEGREDO
Loteamento Morada do Sossego,SEGREDO
Jardim Barcelona,SEGREDO
Morada do Sossego II,SEGREDO
Recanto Pantaneiro,SEGREDO
Villa Ravenna,SEGREDO
Villa Ravenna II,SEGREDO
Ary Abussafi de Lima,SEGREDO
Gregório Correa,SEGREDO
Nova Lima,SEGREDO
Jardim Anache,SEGREDO
Jardim Columbia,SEGREDO
Loteamento Municipal Pereira Borges,SEGREDO
Favela Jardim Anache,SEGREDO
área F,SEGREDO
Jardim Vida Nova,SEGREDO
Loteamento Vida Nova II,SEGREDO
Loteamento Tarsila do Amaral,SEGREDO
Loteamento Vida Nova III,SEGREDO
José Prates,SEGREDO
Coriolando da Silva Correa I,SEGREDO
Coriolando da Silva Correa II,SEGREDO
José Tavares do Couto,SEGREDO
Oscar Salazar Moura da Cruz,SEGREDO
Parque Iguatemi,SEGREDO
Seminário,SEGREDO
Jardim Seminário,SEGREDO
Jardim Seminário II,SEGREDO
Vila Santa Lúcia,SEGREDO
Vila Jardim Maria Amélia,SEGREDO
Vila Nossa Senhora da Conceição,SEGREDO
Jardim Oracília,SEGREDO
Vila Dalila,SEGREDO
Vila Leda,SEGREDO
Vila Antonieta,SEGREDO
Vila São Roque,SEGREDO
Vila Saraiva,SEGREDO
Portal do Gramado,SEGREDO
São Benedito,SEGREDO
Lagoa da Cruz,SEGREDO
Vila Lídia,SEGREDO
North Park,SEGREDO
