"id","nome_bairro","nome_regiao_regioes_id"
902,José Abrão,SEGREDO
903,Núcleo Habitacional José Abrão,SEGREDO
904,Parque dos Laranjais,SEGREDO
905,Jardim das Paineiras,SEGREDO
906,Vila Oeste,SEGREDO
907,Manoel Taveira,SEGREDO
908,Núcleo Parque dos Laranjais,SEGREDO
909,Jardim das Virtudes,SEGREDO
910,Nasser,SEGREDO
911,Vila Nasser,SEGREDO
912,Santa Luzia,SEGREDO
913,Vila Cox,SEGREDO
914,Jardim Alto São Francisco,SEGREDO
915,Jardim das Acácias,SEGREDO
916,Vila Lili,SEGREDO
917,Parque Residencial Azaléia,SEGREDO
918,Jardim Veneza,SEGREDO
919,Loteamento Municipal Dr. Miguel Vieira Ferreira,SEGREDO
920,Jardim Fluminense,SEGREDO
921,Nossa Senhora das Graças,SEGREDO
922,Vila Nilza,SEGREDO
923,Jardim Paquetá,SEGREDO
924,Coophasul,SEGREDO
925,Vila Nossa Senhora Aparecida,SEGREDO
926,Vila Neuza,SEGREDO
927,Vila Marli,SEGREDO
928,Vila Novo Horizonte,SEGREDO
929,Bosque da Saúde,SEGREDO
930,São Caetano,SEGREDO
931,Jardim Paradiso,SEGREDO
932,Jardim Monte Alto,SEGREDO
933,Loteamento Dona Dedé,SEGREDO
934,Setvillage I,SEGREDO
935,Setvillage II,SEGREDO
936,Água Limpa Park,SEGREDO
937,Residencial Carajás,SEGREDO
938,Morada dos Deuses,SEGREDO
939,Residencial Alto Tamandaré Residencial Recanto do Cerrado,SEGREDO
940,Residencial Recanto do Cerrado,SEGREDO
941,Bom Retiro,SEGREDO
942,Residencial Tolentino,SEGREDO
943,Jardim da Mooca,SEGREDO
944,Monte Castelo,SEGREDO
945,Residencial Vale do Sol I,SEGREDO
946,Residencial Vale do Sol II,SEGREDO
947,Residencial Vale do Sol III,SEGREDO
948,Residencial Indaiá,SEGREDO
949,Jardim São Paulo ,SEGREDO
950,Vila São João Bosco,SEGREDO
951,Residencial Otávio Pécora,SEGREDO
952,Jardim Bosque de Avilan,SEGREDO
953,Center Park,SEGREDO
954,Jardim Aruba,SEGREDO
955,Loteamento Campo Dourado,SEGREDO
956,Loteamento Costa Verde,SEGREDO
957,Praia da Urca,SEGREDO
958,Residencial Gabura,SEGREDO
959,Mata do Segredo,SEGREDO
960,Jardim das Cerejeiras,SEGREDO
961,Jardim Campo Novo,SEGREDO
962,Jardim Presidente,SEGREDO
963,Jardim Campo Belo,SEGREDO
964,Loteamento Municipal Salinas,SEGREDO
965,Loteamento Municipal Cristaldo,SEGREDO
966,Núcleo das Cerejeiras,SEGREDO
967,Jardim Nascente do Segredo,SEGREDO
968,Residencial Gama,SEGREDO
969,Arnaldino da Silva,SEGREDO
970,Treviso,SEGREDO
971,Coronel Antonino,SEGREDO
972,Conjunto Residencial Estrela do Sul,SEGREDO
973,Jardim Imperial,SEGREDO
974,Jardim Mirasol,SEGREDO
975,Eldorado,SEGREDO
976,Vila Califórnia,SEGREDO
977,Vila Triângulo,SEGREDO
978,Guanabara,SEGREDO
979,Morada Verde,SEGREDO
980,Conjunto Residencial Nova Olinda,SEGREDO
981,Jardim Campo Verde,SEGREDO
982,Loteamento Municipal Raízes,SEGREDO
983,Favela Rio de Janeiro,SEGREDO
984,Favela Guatambu,SEGREDO
985,Beco da Liberdade,SEGREDO
986,Favela Nacional,SEGREDO
987,Loteamento Municipal Jaburu,SEGREDO
988,Núcleo Morada Verde,SEGREDO
989,Parque Izabel Garden’s,SEGREDO
990,Jardim Talismã,SEGREDO
991,Residencial Atlântico Sul,SEGREDO
992,Loteamento Morada do Sossego,SEGREDO
993,Jardim Barcelona,SEGREDO
994,Morada do Sossego II,SEGREDO
995,Recanto Pantaneiro,SEGREDO
996,Villa Ravenna,SEGREDO
997,Villa Ravenna II,SEGREDO
998,Ary Abussafi de Lima,SEGREDO
999,Gregório Correa,SEGREDO
1000,Nova Lima,SEGREDO
1001,Jardim Anache,SEGREDO
1002,Jardim Columbia,SEGREDO
1003,Loteamento Municipal Pereira Borges,SEGREDO
